tst,dt,flare_type,chi_sq,red_chi_sq,solar_zenith_angle,emiss_angle,sat_alt,tint,Element_26,Element_26_err,Element_22,Element_22_err,Element_20,Element_20_err,Element_14,Element_14_err,Element_13,Element_13_err,Element_12,Element_12_err,Element_11,Element_11_err,Element_8,Element_8_err
20200529T104516257_20200529T104524257,20200529,M,4576.9363966898,40.86550354187322,43.9176,1.1780413e-09,108.356,8.0,3.1326973793914163,460.6823809350232,0.9293269275837153,173.3717506782599,6.590334476879152,1519.540612063766,13.840103828399101,2324.336162001577,4.7904531555949115,673.1732608653786,0.32264055199710906,41.87110317222066,45.0,0.0,7732.9324688004035,606157.8871730242
20200529T104524257_20200529T104532257,20200529,M,3773.45750580647,33.691584873272056,44.2288,2.0949131e-09,108.389,8.0,0.6144982940974089,1015.0359557363282,2.0350524101411924,518.6258094124562,6.590334470644498,2032.9336484888524,14.999999999649502,6953.065658524277,8.999999999957794,3470.3672733274025,0.8526889658621346,143.24700000433174,45.0,0.0,3847.891374122674,403215.08873307524
20200529T104532257_20200529T104540257,20200529,M,1546.32499236022,13.806473146073392,44.5412,2.1367317e-09,108.421,8.0,0.9582893075312726,271.8414728732221,0.4058988068841784,23.612931453855072,11.996842954040758,1242.2826442331,14.999946165404655,1358.841393420682,3.000000000019273,228.41173908988458,0.4844418331667505,17.613920532847196,45.0,0.0,29312.77225827749,625442.0168691068
20200529T104540257_20200529T104548257,20200529,M,1799.2366921050923,16.064613322366895,44.8547,8.5264411e-10,108.452,8.0,0.9208156400840504,225.61815963467566,0.3204778143194401,14.291299022634043,11.999967218500839,1230.9640543373594,14.999999999999979,1077.6358028037967,3.0000000021674955,180.3962930219925,0.3250865218562776,9.269168508238257,45.0,0.0,39082.20437688828,665007.5219951686
20200529T104548257_20200529T104556257,20200529,M,1636.1554136860464,14.6085304793397,45.1694,1.7444518e-09,108.484,8.0,10.146784372985497,169.51713715651059,0.4158400479221489,20.111017033919158,6.590334472939293,397.5227389248373,14.999999999928615,1344.325372825933,3.000000000022046,233.2683095892652,0.41374830833007614,15.066712022384115,45.0,0.0,55537.00335716925,1101428.1476862824
