PIXEL_INDEX,MIN_LAT,MAX_LAT,MIN_LON,MAX_LON,AM,NEUTRON_DEN,W_MGO,W_AL2O3,W_SIO2,W_CAO,W_TIO2,W_FEO,W_K,W_TH,W_U,"E[0,0]","E[0,1]","E[0,2]","E[0,3]","E[0,4]","E[0,5]","E[0,6]","E[0,7]","E[0,8]","E[1,1]","E[1,2]","E[1,3]","E[1,4]","E[1,5]","E[1,6]","E[1,7]","E[1,8]","E[2,2]","E[2,3]","E[2,4]","E[2,5]","E[2,6]","E[2,7]","E[2,8]","E[3,3]","E[3,4]","E[3,5]","E[3,6]","E[3,7]","E[3,8]","E[4,4]","E[4,5]","E[4,6]","E[4,7]","E[4,8]","E[5,5]","E[5,6]","E[5,7]","E[5,8]","E[6,6]","E[6,7]","E[6,8]","E[7,7]","E[7,8]","E[8,8]"
0,-90.0,-87.5,-180.0,180.0,21.609,1.5344e-06,0.076213,0.2867,0.44507,0.15633,0.0016727,0.049428,433.89,0.79171,0.21514,6.6536e-06,0.0,0.0,-1.8852e-06,0.0,0.0,-0.02231,1.19e-07,-2.6756e-06,1.6166e-05,0.0,-5.0823e-06,0.0,-1.4726e-06,0.0040943,-1.3823e-05,3.9954e-06,1.2188e-05,-4.8501e-07,-3.6164e-07,1.2217e-07,0.015153,1.48e-05,-2.1926e-05,5.7108e-06,0.0,0.0,0.0024006,-4.858e-06,6.6773e-06,1.3902e-07,2.5797e-08,-0.0003277,1.9772e-07,1.5387e-06,5.1453e-07,0.00029189,6.9154e-07,1.985e-06,246.4,0.0,0.0,0.00033237,-4.8165e-05,0.00018968
1,-87.5,-82.5,-180.0,-135.0,21.851,1.4376e-06,0.08711,0.25362,0.46091,0.14741,0.0017781,0.059621,482.4,0.95002,0.25836,2.7966e-05,0.0,0.0,-8.1191e-06,0.0,0.0,-0.094065,1.1459e-06,-1.1759e-05,6.8545e-05,0.0,-2.2101e-05,0.0,-6.4571e-06,0.016686,-5.7309e-05,1.8936e-05,5.1393e-05,-1.925e-06,-1.6481e-06,3.9059e-07,0.064625,6.2743e-05,-9.5475e-05,2.4734e-05,0.0,0.0,0.010322,-2.1711e-05,2.7948e-05,6.7982e-07,1.424e-07,-0.001491,7.6389e-07,7.1887e-06,2.4523e-06,0.001455,2.6049e-06,8.8858e-06,1045.8,0.0,0.0,0.0014174,-0.00021187,0.0008139
2,-87.5,-82.5,-135.0,-90.0,21.819,1.4703e-06,0.069303,0.26251,0.44618,0.16314,0.0020221,0.056288,550.72,0.97094,0.26407,2.3834e-05,0.0,0.0,-6.8664e-06,0.0,0.0,-0.080398,7.7655e-07,-9.8161e-06,5.8278e-05,0.0,-1.8629e-05,0.0,-5.4298e-06,0.014431,-4.9041e-05,1.5589e-05,4.3724e-05,-1.6352e-06,-1.3656e-06,3.7539e-07,0.054941,5.3347e-05,-8.0323e-05,2.0869e-05,0.0,0.0,0.0088173,-1.8162e-05,2.3745e-05,5.5023e-07,1.112e-07,-0.0012388,6.7026e-07,5.9127e-06,2.0053e-06,0.0011919,2.3084e-06,7.4092e-06,893.09,0.0,0.0,0.0012028,-0.00017813,0.00069054
3,-87.5,-82.5,-90.0,-45.0,21.695,1.4976e-06,0.074188,0.27185,0.44559,0.15268,0.0020416,0.051495,415.38,0.77853,0.21154,2.3408e-05,0.0,0.0,-6.6951e-06,0.0,0.0,-0.078488,5.8513e-07,-9.5955e-06,5.7202e-05,0.0,-1.8147e-05,0.0,-5.2695e-06,0.014205,-4.8289e-05,1.4852e-05,4.2966e-05,-1.6274e-06,-1.3126e-06,4.1028e-07,0.053485,5.2175e-05,-7.8098e-05,2.0328e-05,0.0,0.0,0.0085255,-1.7504e-05,2.3373e-05,5.1701e-07,9.9905e-08,-0.0011844,6.7467e-07,5.63e-06,1.8918e-06,0.0011084,2.3462e-06,7.1055e-06,867.76,0.0,0.0,0.001172,-0.00017186,0.00067296
4,-87.5,-82.5,-45.0,0.0,21.638,1.5046e-06,0.072345,0.27037,0.44527,0.17081,0.0,0.048953,450.18,0.76797,0.20865,2.7686e-05,0.0,0.0,-7.8992e-06,0.0,0.0,-0.092698,6.2687e-07,-1.1256e-05,6.7572e-05,0.0,-2.1414e-05,0.0,-6.2006e-06,0.016848,-5.6957e-05,1.7361e-05,5.0719e-05,-1.9069e-06,-1.5335e-06,5.0048e-07,0.063019,6.1504e-05,-9.1637e-05,2.3984e-05,0.0,0.0,0.010044,-2.0633e-05,2.7451e-05,5.9866e-07,1.1457e-07,-0.0013766,8.0531e-07,6.558e-06,2.2046e-06,0.0012935,2.7933e-06,8.3154e-06,1022.8,0.0,0.0,0.0013792,-0.00020149,0.00079144
5,-87.5,-82.5,0.0,45.0,21.568,1.5246e-06,0.06813,0.27878,0.44713,0.1606,0.0007735,0.048433,391.73,0.69674,0.18921,2.7863e-05,0.0,0.0,-7.932e-06,0.0,0.0,-0.093037,5.133e-07,-1.1353e-05,6.7874e-05,0.0,-2.138e-05,0.0,-6.1942e-06,0.017008,-5.7508e-05,1.6895e-05,5.1029e-05,-1.9666e-06,-1.5242e-06,5.2554e-07,0.063091,6.1749e-05,-9.1649e-05,2.3969e-05,0.0,0.0,0.010046,-2.0382e-05,2.7847e-05,5.8633e-07,1.0938e-07,-0.0013633,8.0947e-07,6.4806e-06,2.1688e-06,0.0012618,2.8718e-06,8.2933e-06,1023.1,0.0,0.0,0.0013803,-0.00020061,0.00079294
6,-87.5,-82.5,45.0,90.0,21.691,1.5592e-06,0.071236,0.27823,0.4505,0.15689,0.0020422,0.04447,373.97,0.63842,0.17329,2.4238e-05,0.0,0.0,-6.8553e-06,0.0,0.0,-0.081364,2.4663e-07,-9.9471e-06,5.9021e-05,0.0,-1.8527e-05,0.0,-5.3444e-06,0.015006,-5.051e-05,1.43e-05,4.4488e-05,-1.7596e-06,-1.3067e-06,4.7973e-07,0.055087,5.4038e-05,-7.9805e-05,2.0819e-05,0.0,0.0,0.0087504,-1.7721e-05,2.4529e-05,4.949e-07,8.8785e-08,-0.0011786,7.3715e-07,5.5539e-06,1.8313e-06,0.0010631,2.5801e-06,7.1816e-06,899.76,0.0,0.0,0.0012152,-0.00017498,0.00069747
7,-87.5,-82.5,90.0,135.0,21.662,1.5494e-06,0.073352,0.26724,0.44785,0.17073,0.00055341,0.051966,423.64,0.81958,0.22275,2.3354e-05,0.0,0.0,-6.6256e-06,0.0,0.0,-0.078356,3.3327e-07,-9.5714e-06,5.679e-05,0.0,-1.7858e-05,0.0,-5.1568e-06,0.014428,-4.8647e-05,1.3838e-05,4.2809e-05,-1.6921e-06,-1.2627e-06,4.4164e-07,0.05305,5.2169e-05,-7.6914e-05,2.0077e-05,0.0,0.0,0.0084356,-1.7181e-05,2.3595e-05,4.7981e-07,8.7031e-08,-0.0011361,7.01e-07,5.3727e-06,1.7906e-06,0.001036,2.4482e-06,6.9716e-06,866.07,0.0,0.0,0.0011751,-0.0001699,0.00067064
8,-87.5,-82.5,135.0,180.0,21.685,1.502e-06,0.0883,0.27912,0.44469,0.1542,0.0019949,0.053349,404.72,0.84307,0.22916,2.6963e-05,0.0,0.0,-7.6962e-06,0.0,0.0,-0.090353,6.3863e-07,-1.0939e-05,6.5761e-05,0.0,-2.0854e-05,0.0,-6.0597e-06,0.016407,-5.5575e-05,1.6923e-05,4.9406e-05,-1.8823e-06,-1.5043e-06,4.6723e-07,0.061522,5.9996e-05,-8.982e-05,2.3365e-05,0.0,0.0,0.0097893,-2.0074e-05,2.6894e-05,5.9181e-07,1.1354e-07,-0.0013598,7.7967e-07,6.4522e-06,2.1764e-06,0.0012675,2.7095e-06,8.1953e-06,997.34,0.0,0.0,0.0013464,-0.00019719,0.0007737
9,-82.5,-77.5,-180.0,-156.0,22.045,1.3148e-06,0.072498,0.21724,0.45159,0.15409,0.0061584,0.0815,588.28,1.2355,0.3363,5.2664e-05,0.0,0.0,-1.5616e-05,0.0,0.0,-0.17724,3.8513e-06,-2.2894e-05,0.00013037,0.0,-4.307e-05,0.0,-1.2893e-05,0.030413,-0.00010541,4.0334e-05,9.6668e-05,-3.1014e-06,-3.4303e-06,4.249e-07,0.12301,0.00011869,-0.00018486,4.782e-05,0.0,0.0,0.019939,-4.3601e-05,5.0694e-05,1.571e-06,3.6901e-07,-0.0031144,1.1996e-06,1.5339e-05,5.4845e-06,0.003301,4.0168e-06,1.7994e-05,1980.4,0.0,0.0,0.0026922,-0.00041661,0.0015527
