PIXEL_INDEX,MIN_LAT,MAX_LAT,MIN_LON,MAX_LON,AM,NEUTRON_DEN,W_MGO,W_AL2O3,W_SIO2,W_CAO,W_TIO2,W_FEO,W_K,W_TH,W_U,"E[0,0]","E[0,1]","E[0,2]","E[0,3]","E[0,4]","E[0,5]","E[0,6]","E[0,7]","E[0,8]","E[1,1]","E[1,2]","E[1,3]","E[1,4]","E[1,5]","E[1,6]","E[1,7]","E[1,8]","E[2,2]","E[2,3]","E[2,4]","E[2,5]","E[2,6]","E[2,7]","E[2,8]","E[3,3]","E[3,4]","E[3,5]","E[3,6]","E[3,7]","E[3,8]","E[4,4]","E[4,5]","E[4,6]","E[4,7]","E[4,8]","E[5,5]","E[5,6]","E[5,7]","E[5,8]","E[6,6]","E[6,7]","E[6,8]","E[7,7]","E[7,8]","E[8,8]"
58,0.0,20.0,-162.0,-144.0,21.744,1.7084e-06,0.053209,0.2688,0.44789,0.1629,0.0025223,0.044862,231.3,0.43233,0.11703,1.533e-05,0.0,0.0,-4.22e-06,0.0,0.0,-0.052748,-3.1241e-07,-6.6234e-06,3.7486e-05,0.0,-1.1356e-05,0.0,-3.2034e-06,0.0099469,-3.3057e-05,8.0048e-06,2.8326e-05,-1.1641e-06,-7.4183e-07,4.1181e-07,0.034761,3.4587e-05,-4.9264e-05,1.2849e-05,0.0,0.0,0.0057791,-1.0721e-05,1.61e-05,2.535e-07,3.2741e-08,-0.00067591,5.2275e-07,3.1123e-06,9.6888e-07,0.00067171,1.8343e-06,4.2451e-06,590.51,0.0,0.0,0.00078308,-0.00010845,0.00045665
59,0.0,20.0,-144.0,-126.0,21.76,1.7602e-06,0.041776,0.2767,0.45032,0.16189,0.0029769,0.041629,284.52,0.48848,0.13236,1.62e-05,0.0,0.0,-4.4147e-06,0.0,0.0,-0.0559,-4.7164e-07,-6.9921e-06,3.9411e-05,0.0,-1.1798e-05,0.0,-3.3293e-06,0.010701,-3.5288e-05,7.8588e-06,2.9903e-05,-1.2715e-06,-7.605e-07,4.5496e-07,0.036613,3.6657e-05,-5.1438e-05,1.3404e-05,0.0,0.0,0.0061019,-1.112e-05,1.7165e-05,2.527e-07,2.9241e-08,-0.00069667,5.5976e-07,3.1607e-06,9.7687e-07,0.00067271,1.9986e-06,4.414e-06,627.52,0.0,0.0,0.00083334,-0.00011395,0.00048362
60,0.0,20.0,-126.0,-108.0,21.784,1.6916e-06,0.048728,0.26507,0.4381,0.16005,0.0026112,0.043408,293.99,0.55543,0.15063,1.5922e-05,0.0,0.0,-4.395e-06,0.0,0.0,-0.054923,-2.4648e-07,-6.8397e-06,3.8888e-05,0.0,-1.1808e-05,0.0,-3.3357e-06,0.010293,-3.4259e-05,8.5938e-06,2.9372e-05,-1.1893e-06,-7.7677e-07,4.1769e-07,0.036233,3.5965e-05,-5.1337e-05,1.3363e-05,0.0,0.0,0.0060709,-1.1247e-05,1.6614e-05,2.6756e-07,3.5724e-08,-0.00071008,5.3763e-07,3.2667e-06,1.0207e-06,0.0007188,1.8827e-06,4.4313e-06,616.04,0.0,0.0,0.00081667,-0.00011393,0.00047487
61,0.0,20.0,-108.0,-90.0,21.802,1.607e-06,0.050415,0.27132,0.43928,0.16042,0.0032642,0.046428,393.17,0.87137,0.23688,1.4483e-05,0.0,0.0,-4.0612e-06,0.0,0.0,-0.049936,8.4199e-08,-6.2527e-06,3.5635e-05,0.0,-1.1011e-05,0.0,-3.1186e-06,0.0091198,-3.0938e-05,8.7707e-06,2.6753e-05,-1.0172e-06,-7.4407e-07,3.5305e-07,0.033244,3.2859e-05,-4.7576e-05,1.2395e-05,0.0,0.0,0.0055988,-1.0646e-05,1.4879e-05,2.6981e-07,4.1682e-08,-0.00067931,4.736e-07,3.1718e-06,1.0026e-06,0.0007199,1.6323e-06,4.1294e-06,560.24,0.0,0.0,0.00074683,-0.00010691,0.00043177
62,0.0,20.0,-90.0,-72.0,22.125,1.3516e-06,0.070852,0.2289,0.43316,0.15664,0.0065542,0.066946,815.01,1.8398,0.50126,1.6102e-05,0.0,0.0,-4.7261e-06,0.0,0.0,-0.055947,1.1759e-06,-6.9369e-06,4.004e-05,0.0,-1.3025e-05,0.0,-3.7915e-06,0.0093719,-3.311e-05,1.3132e-05,2.9667e-05,-9.0257e-07,-9.9188e-07,2.2403e-07,0.038346,3.6905e-05,-5.6554e-05,1.4494e-05,0.0,0.0,0.0065944,-1.3382e-05,1.5504e-05,4.3238e-07,9.4267e-08,-0.00091541,4.1495e-07,4.4411e-06,1.4931e-06,0.0011061,1.3707e-06,5.1745e-06,634.94,0.0,0.0,0.00084917,-0.00013146,0.00048734
63,0.0,20.0,-72.0,-54.0,22.872,8.3692e-07,0.099313,0.12331,0.39444,0.1357,0.032412,0.17585,1283.8,3.1656,0.86321,1.6286e-05,0.0,0.0,-4.7816e-06,0.0,0.0,-0.056379,4.1204e-06,-7.0318e-06,4.1088e-05,0.0,-1.4147e-05,0.0,-5.143e-06,0.0083802,-2.8901e-05,1.9535e-05,2.9432e-05,-2.2184e-07,-1.6812e-06,-4.2156e-07,0.041055,3.7736e-05,-6.3831e-05,1.5361e-05,0.0,0.0,0.0067806,-1.6784e-05,1.1148e-05,1.2713e-06,3.8437e-07,-0.0016876,-4.9389e-07,8.0876e-06,3.5923e-06,0.0021614,-8.632e-07,7.2467e-06,656.25,0.0,0.0,0.00088232,-0.0001561,0.00050735
64,0.0,20.0,-54.0,-36.0,23.407,6.4317e-07,0.087878,0.079974,0.36226,0.11976,0.055183,0.22521,2154.8,5.7202,1.5606,1.7265e-05,0.0,0.0,-4.6257e-06,0.0,0.0,-0.060343,6.7191e-06,-6.5624e-06,4.2952e-05,0.0,-1.4323e-05,0.0,-6.401e-06,0.008892,-2.8831e-05,2.3208e-05,3.0399e-05,3.3381e-07,-2.3314e-06,-8.0873e-07,0.0449,4.1545e-05,-6.8805e-05,1.5573e-05,0.0,0.0,0.0072579,-1.8651e-05,8.0288e-06,2.3563e-06,7.3553e-07,-0.0025882,-1.9841e-06,1.1205e-05,5.8307e-06,0.0031779,-3.1657e-06,8.166e-06,721.77,0.0,0.0,0.00099568,-0.00018685,0.00054322
65,0.0,20.0,-36.0,-18.0,22.799,6.7232e-07,0.099329,0.15538,0.36254,0.16193,0.035603,0.17213,3271.4,9.224,2.5172,1.9839e-05,0.0,0.0,-5.3311e-06,0.0,0.0,-0.069917,7.4967e-06,-5.8699e-06,4.7594e-05,0.0,-1.5588e-05,0.0,-6.6057e-06,0.010104,-3.5628e-05,2.6366e-05,3.4383e-05,4.1765e-07,-2.3875e-06,-6.3674e-07,0.051203,4.8067e-05,-7.5219e-05,1.6823e-05,0.0,0.0,0.0087509,-2.0421e-05,8.8724e-06,2.1911e-06,6.9958e-07,-0.0025559,-1.8533e-06,1.1153e-05,5.5066e-06,0.0033798,-2.4609e-06,8.2935e-06,822.97,0.0,0.0,0.0011732,-0.00022053,0.00059346
66,0.0,20.0,-18.0,0.0,22.609,7.1801e-07,0.097133,0.15634,0.39094,0.15856,0.034046,0.1597,2801.2,7.5936,2.0721,2.0105e-05,0.0,0.0,-5.5408e-06,0.0,0.0,-0.070217,6.7548e-06,-6.4497e-06,4.8632e-05,0.0,-1.6144e-05,0.0,-6.48e-06,0.010249,-3.5943e-05,2.5686e-05,3.514e-05,2.2967e-07,-2.2779e-06,-5.7349e-07,0.051219,4.77e-05,-7.5889e-05,1.7412e-05,0.0,0.0,0.0087063,-2.0481e-05,1.0174e-05,1.956e-06,6.1991e-07,-0.0023769,-1.4004e-06,1.0652e-05,5.0541e-06,0.0031156,-1.87e-06,8.4036e-06,818.3,0.0,0.0,0.0011467,-0.00021209,0.00059816
67,0.0,20.0,0.0,18.0,22.436,8.9927e-07,0.099895,0.18115,0.39535,0.15196,0.028844,0.12171,1577.4,4.0601,1.1074,1.8724e-05,0.0,0.0,-5.5014e-06,0.0,0.0,-0.064785,4.2633e-06,-7.3097e-06,4.6477e-05,0.0,-1.5814e-05,0.0,-5.4352e-06,0.0096858,-3.4495e-05,2.1573e-05,3.3606e-05,-3.0333e-07,-1.7317e-06,-2.6229e-07,0.046537,4.3168e-05,-7.0616e-05,1.7157e-05,0.0,0.0,0.0079409,-1.8421e-05,1.3096e-05,1.1855e-06,3.5415e-07,-0.0016963,-3.1213e-07,8.1518e-06,3.3653e-06,0.002214,-2.3586e-07,7.4866e-06,743.51,0.0,0.0,0.0010113,-0.0001768,0.00056333
