,class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,Unnamed: 29,active_region,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,STARTIME,ENDTIME,Centroid_LAT,Centroid_LON,ca,mg,fe,ti,al,o,si
1261637,20221018T153310128_20221018T153318128,20221018,54225.0,7.95,54335.0,72.17,56095.0,16.85,2,True,True,B7,A7,679.9,1266.74,38.59,54261.82,29.27,1204.24,105.416,0.807,193.62,53815.0,-5.45,54315.0,104.99,56095.0,-0.49,True,,,-59.6298,-60.8671,-61.2223,-59.9748,142.115,141.369,143.098,143.789,2022-10-18T15:33:10.128,2022-10-18T15:33:18.128,-60.4235,142.59275000000002,12.393700787401574,5.864253393665158,6.315789473684211,0.679245283018868,14.352941176470589,44.74476987447699,15.649300011282604
1163994,20220920T180142223_20220920T180150223,20220920,64575.0,12.74,64745.0,148.22,65245.0,14.67,3,True,True,C1,B1,868.54,326.46,125.42,64671.06,60.96,198.87,265.485,0.737,107.69,60775.0,19.56,64735.0,168.19,66295.0,-38.75,True,,False,5.0222,3.6707,3.6871,5.0383,150.363,150.377,151.328,151.317,2022-09-20T18:01:42.223,2022-09-20T18:01:50.223,4.354575,150.84625,14.598425196850394,7.167420814479638,4.078947368421053,0.339622641509434,12.941176470588236,44.62761506276151,16.24679244538973
360713,20201115T043612228_20201115T043620228,20201115,14935.0,0.0,16275.0,7.05,16625.0,0.74,5,False,True,B1,sub-A,103.45,7.11,66.91,16257.14,161.62,21.52,6.413,0.536,19.09,14935.0,-4.68,16305.0,15.12,16855.0,-3.83,True,,,-5.0112,-6.098,-6.191,-5.0984,-137.788,-137.882,-137.205,-137.111,2020-11-15T04:36:12.228,2020-11-15T04:36:20.228,-5.5996500000000005,-137.4965,14.22047244094488,3.18552036199095,2.8947368421052637,0.5660377358490567,15.84313725490196,44.71548117154812,18.57461419265977
1022014,20210311T095452878_20210311T095500878,20210311,34786.0,4.6,36406.0,45.75,38046.0,4.63,16,True,False,A7,A4,28.83,46.71,276.22,36256.33,744.89,157.89,23.07,0.918,869.29,32696.0,-1.58,35836.0,45.74,38936.0,3.19,True,,,-45.1298,-46.4833,-46.3679,-45.0177,128.844,128.984,130.363,130.19,2021-03-11T09:54:52.878,2021-03-11T09:55:00.878,-45.749675,129.59525,12.645669291338583,3.764705882352941,5.131578947368421,0.9622641509433962,13.96078431372549,45.33054393305439,18.20445348121677
950137,20221101T212445726_20221101T212453726,20221101,76036.0,16.19,76146.0,160.93,77246.0,16.17,2,True,True,B7,B1,622.64,1042.41,95.49,76082.62,34.4,470.65,238.272,0.864,234.14,74816.0,-1.97,76176.0,191.33,78656.0,-23.74,True,,,-31.3233,-32.5064,-32.8468,-31.6579,135.391,134.994,135.918,136.307,2022-11-01T21:24:45.726,2022-11-01T21:24:53.726,-32.083600000000004,135.6525,12.960629921259844,5.719457013574661,3.552631578947368,0.9622641509433962,14.901960784313726,45.1255230125523,16.777533538408704
63316,20200831T030444048_20200831T030452048,20200831,10525.0,6.14,11885.0,60.4,13255.0,6.06,29,True,False,A7,A6,13.46,61.66,365.43,11753.68,624.06,131.98,23.674,0.947,1129.56,10015.0,1.74,12035.0,68.19,16255.0,-3.6,True,,,89.6183,88.4188,88.0268,88.8871,153.49,133.608,158.327,-167.22,2020-08-31T03:04:44.048,2020-08-31T03:04:52.048,88.73775,69.55125000000001,13.77952755905512,7.384615384615385,3.552631578947368,0.3679245283018868,14.03921568627451,44.71548117154812,16.16060409125761
203331,20201101T155003210_20201101T155011210,20201101,56695.0,53.99,57095.0,528.96,57855.0,52.96,3,True,True,B7,B5,216.81,834.05,596.77,56945.91,158.32,277.32,955.544,0.966,1125.83,56435.0,92.01,57085.0,556.69,61245.0,-68.71,True,,False,-88.4717,-89.5471,-89.3365,-88.5114,-119.991,-129.084,-50.9199,-92.2755,2020-11-01T15:50:03.210,2020-11-01T15:50:11.210,-88.966675,-98.0676,13.338582677165354,7.167420814479638,3.026315789473684,0.5660377358490567,14.431372549019608,44.89121338912134,16.579057044891314
704481,20210805T224957771_20210805T225005771,20210805,80265.0,6.32,81535.0,63.25,83815.0,10.29,1,False,False,B2,A6,207.62,111.79,63.26,81017.69,483.68,1071.17,15.741,0.968,567.92,77695.0,-2.31,81525.0,70.32,83815.0,9.06,True,,,27.5807,26.2716,25.8597,27.1596,164.991,164.526,165.537,166.009,2021-08-05T22:49:57.771,2021-08-05T22:50:05.771,26.7179,165.26575000000005,13.149606299212598,7.167420814479638,3.947368421052632,0.6226415094339623,14.27450980392157,45.18410041841004,15.65435273348956
587850,20201027T081218753_20201027T081226753,20201027,29525.0,6.45,29945.0,63.01,30365.0,6.19,4,True,True,B4,A6,393.46,63.89,471.94,29909.19,193.41,32.82,287.868,0.452,107.51,25855.0,49.55,29945.0,69.94,30895.0,-32.54,True,,,-61.8595,-62.934,-63.3246,-62.2402,108.813,107.922,109.397,110.248,2020-10-27T08:12:18.753,2020-10-27T08:12:26.753,-62.589575,109.095,10.818897637795276,7.601809954751131,5.263157894736842,1.160377358490566,14.19607843137255,45.18410041841004,15.7755783044436
9676,20230902T070254474_20230902T070302474,20230902,24390.0,2388.48,26010.0,22177.21,29940.0,2217.1,1,False,True,M2,M2,981.65,41442.6,21119.98,25320.0,620.03,1524.84,691316.689,0.986,50281.55,21650.0,-552.87,25920.0,21204.01,36400.0,-449.51,True,,True,79.7119,78.4661,78.1442,79.3642,84.8837,83.3345,87.4499,89.4255,2023-09-02T07:02:54.474,2023-09-02T07:03:02.474,78.9216,86.27340000000001,15.039370078740156,5.574660633484163,3.947368421052632,1.1037735849056602,14.431372549019608,44.36401673640167,15.539437996396115
