class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,
20191101T041748629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041756629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041804629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041812629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041820629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041828629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041836629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041844629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041852629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041900629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041908629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041916629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041924629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041932629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041940629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041948629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T041956629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042004629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042012629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042020629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042028629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042036629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042044629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
20191101T042052629_2019110,20191101,15465,0.28,16095,2.88,16835,0.3,23,False,False,True,sub-A,sub-A,2.45,3.33,6.21,15952.88,273.37,183.51,0.434,0.684,80.55,14245,0.02,16225,5.3,17455,-0.89,True,
